item_id,business_id,price_sold,serving_size,quantity
1,1,3,1.5,5
2,1,5,1.5,2
3,1,6,1.5,1
4,1,8,1.25,5
5,1,6,1.5,8
6,1,8,1.25,3
7,1,7,1.25,8
8,1,7,1.5,3
9,1,4,1.5,2
10,1,4,1.5,7
11,1,6,1.5,5
12,1,7,1.5,6
13,1,4,1.5,4
14,1,8,1.25,5
15,1,5,1.5,8
16,1,8,1.25,2
17,1,4,1.5,3
18,1,6,1.5,4
19,1,6,1.5,1
20,1,4,1.5,6
21,1,7,1.5,8
22,1,3,24,3
23,1,4,24,5
24,1,4,12,2
25,1,4,12,1
26,1,4,12,5
27,1,4,12,8
28,1,4,12,3
29,1,5,12,8
30,1,6,12,3
31,1,5,12,2
32,1,6,12,7
33,1,6,12,5
34,1,6,12,6